,pageid,text,title,statistics,ml,text_preproc
0,1776354,"Anthony William Fairbank Edwards, FRS (born 1935) is a British statistician, geneticist and evolutionary biologist. He is the son of the surgeon Harold C. Edwards, and brother of medical geneticist John H. Edwards. He has sometimes been called ""Fisher's Edwards"" to distinguish him from his brother, because he was mentored by Ronald Fisher. Edwards has always had a high regard for Fisher's scientific contributions and has written extensively on them. To mark the Fisher centenary in 1990, Edwards proposed a commemorative Sir Ronald Fisher window be installed in the Dining Hall of Gonville & Caius College. When the window was removed in 2020, he vigorously opposed the move.",A. W. F. Edwards,1,0,"['anthony', 'william', 'fairbank', 'edwards', 'frs', 'born', 'british', 'statistician', 'geneticist', 'evolutionary', 'biologist', 'son', 'surgeon', 'harold', 'edwards', 'brother', 'medical', 'geneticist', 'john', 'edwards', 'called', 'fishers', 'edwards', 'distinguish', 'brother', 'mentored', 'ronald', 'fisher', 'edwards', 'high', 'regard', 'fishers', 'scientific', 'contributions', 'written', 'extensively', 'mark', 'fisher', 'centenary', 'edwards', 'proposed', 'commemorative', 'sir', 'ronald', 'fisher', 'window', 'installed', 'dining', 'hall', 'gonville', 'caius', 'college', 'window', 'removed', 'vigorously', 'opposed']"
1,19616384,"In algebra, which is a broad division of mathematics, abstract algebra (occasionally called modern algebra) is the study of algebraic structures. Algebraic structures include groups, rings, fields, modules, vector spaces, lattices, and algebras. The term abstract algebra was coined in the early 20th century to distinguish this area of study from older parts of algebra, and more specifically from elementary algebra, the use of variables to represent numbers in computation and reasoning.
Algebraic structures, with their associated homomorphisms, form mathematical categories. Category theory is a formalism that allows a unified  way for expressing properties and constructions that are similar for various structures.
Universal algebra is a related subject that studies types of algebraic structures as single objects. For example, the structure of groups is a single object in universal algebra, which is called the variety of groups.",Abstract algebra,1,0,"['algebra', 'broad', 'division', 'mathematics', 'abstract', 'algebra', 'occasionally', 'called', 'modern', 'algebra', 'study', 'algebraic', 'structures', 'algebraic', 'structures', 'include', 'groups', 'rings', 'fields', 'modules', 'vector', 'spaces', 'lattices', 'algebras', 'term', 'abstract', 'algebra', 'coined', 'early', 'century', 'distinguish', 'area', 'study', 'older', 'parts', 'algebra', 'elementary', 'algebra', 'variables', 'represent', 'numbers', 'computation', 'reasoning', 'algebraic', 'structures', 'homomorphisms', 'form', 'mathematical', 'categories', 'category', 'theory', 'formalism', 'unified', 'expressing', 'properties', 'constructions', 'structures', 'universal', 'algebra', 'subject', 'studies', 'types', 'algebraic', 'structures', 'single', 'objects', 'structure', 'groups', 'single', 'object', 'universal', 'algebra', 'called', 'variety', 'groups']"
2,42122213,"Abundance estimation comprises all statistical methods for estimating the number of individuals in a population. In ecology, this may be anything from estimating the number of daisies in a field to estimating the number of blue whales in the ocean.",Abundance estimation,1,0,"['abundance', 'estimation', 'comprises', 'statistical', 'methods', 'estimating', 'number', 'individuals', 'population', 'ecology', 'estimating', 'number', 'daisies', 'field', 'estimating', 'number', 'blue', 'whales', 'ocean']"
4,15704862,"In the statistical area of survival analysis, an accelerated failure time model  (AFT model) is a parametric model that provides an alternative to the commonly used proportional hazards models. Whereas a proportional hazards model assumes that the effect of a covariate is to multiply the hazard by some constant, an AFT model assumes that the effect of a covariate is to accelerate or decelerate the life course of a disease by some constant. This is especially appealing in a technical context where the 'disease' is a result of some mechanical process with a known sequence of intermediary stages.",Accelerated failure time model,1,0,"['statistical', 'area', 'survival', 'analysis', 'accelerated', 'failure', 'time', 'model', 'aft', 'model', 'parametric', 'model', 'alternative', 'commonly', 'proportional', 'hazards', 'models', 'proportional', 'hazards', 'model', 'assumes', 'covariate', 'multiply', 'hazard', 'constant', 'aft', 'model', 'assumes', 'covariate', 'accelerate', 'decelerate', 'life', 'disease', 'constant', 'appealing', 'technical', 'context', 'disease', 'result', 'mechanical', 'process', 'sequence', 'intermediary', 'stages']"
5,189373,"Actuarial science is the discipline that applies mathematical and statistical methods to assess risk in insurance, pension, finance, investment and other industries and professions. More generally, actuaries apply rigorous mathematics to model matters of uncertainty.
Actuaries are professionals trained in this discipline. In many countries, actuaries must demonstrate their competence by passing a series of rigorous professional examinations.
Actuarial science includes a number of interrelated subjects, including mathematics, probability theory, statistics, finance, economics, financial accounting and computer science. Historically, actuarial science used deterministic models in the construction of tables and premiums. The science has gone through revolutionary changes since the 1980s due to the proliferation of high speed computers and the union of stochastic actuarial models with modern financial theory.Many universities have undergraduate and graduate degree programs in actuarial science. In 2010, a study published by job search website CareerCast ranked actuary as the #1 job in the United States. The study used five key criteria to rank jobs: environment, income, employment outlook, physical demands, and stress. A similar study by U.S. News & World Report in 2006 included actuaries among the 25 Best Professions that it expects will be in great demand in the future.",Actuarial science,1,0,"['actuarial', 'science', 'discipline', 'applies', 'mathematical', 'statistical', 'methods', 'assess', 'risk', 'insurance', 'pension', 'finance', 'investment', 'industries', 'professions', 'generally', 'actuaries', 'apply', 'rigorous', 'mathematics', 'model', 'matters', 'uncertainty', 'actuaries', 'professionals', 'trained', 'discipline', 'countries', 'actuaries', 'demonstrate', 'competence', 'passing', 'series', 'rigorous', 'professional', 'examinations', 'actuarial', 'science', 'includes', 'number', 'interrelated', 'subjects', 'including', 'mathematics', 'probability', 'theory', 'statistics', 'finance', 'economics', 'financial', 'accounting', 'science', 'historically', 'actuarial', 'science', 'deterministic', 'models', 'construction', 'tables', 'premiums', 'science', 'revolutionary', 'proliferation', 'high', 'speed', 'computers', 'union', 'stochastic', 'actuarial', 'models', 'modern', 'financial', 'theorymany', 'universities', 'undergraduate', 'graduate', 'degree', 'programs', 'actuarial', 'science', 'study', 'published', 'job', 'search', 'website', 'careercast', 'ranked', 'actuary', 'job', 'united', 'study', 'key', 'criteria', 'rank', 'jobs', 'environment', 'income', 'employment', 'outlook', 'physical', 'demands', 'stress', 'study', 'news', 'report', 'included', 'actuaries', 'professions', 'expects', 'great', 'demand', 'future']"
6,65297106,"In an adaptive design of a clinical trial, the parameters and conduct of the trial for a candidate drug or vaccine may be changed based on an interim analysis. Adaptive design typically involves advanced statistics to interpret a clinical trial endpoint. This is in contrast to traditional randomized clinical trials (RCTs) that are static in their protocol and do not modify any parameters until the trial is completed. The adaptation process generally continues throughout the trial, as prescribed in the trial protocol. Adaptions may include modifications to: dosage, sample size, drug undergoing trial, patient selection criteria and/or ""cocktail"" mix. The PANDA (A Practical Adaptive & Novel Designs and Analysis toolkit) provides comprehensive summary of different adaptive designs. In some cases, trials have become an ongoing process that regularly adds and drops therapies and patient groups as more information is gained. Importantly, the trial protocol is set before the trial begins which pre-specifies the adaptation schedule and processes.

 

",Adaptive design (medicine),1,0,"['adaptive', 'design', 'clinical', 'trial', 'parameters', 'conduct', 'trial', 'candidate', 'drug', 'vaccine', 'changed', 'based', 'interim', 'analysis', 'adaptive', 'design', 'typically', 'involves', 'advanced', 'statistics', 'interpret', 'clinical', 'trial', 'endpoint', 'contrast', 'traditional', 'randomized', 'clinical', 'trials', 'rcts', 'static', 'protocol', 'modify', 'parameters', 'trial', 'completed', 'adaptation', 'process', 'generally', 'continues', 'trial', 'prescribed', 'trial', 'protocol', 'adaptions', 'include', 'modifications', 'dosage', 'sample', 'size', 'drug', 'undergoing', 'trial', 'patient', 'selection', 'criteria', 'andor', 'cocktail', 'mix', 'panda', 'practical', 'adaptive', 'designs', 'analysis', 'toolkit', 'comprehensive', 'summary', 'adaptive', 'designs', 'cases', 'trials', 'ongoing', 'process', 'regularly', 'adds', 'drops', 'therapies', 'patient', 'groups', 'gained', 'importantly', 'trial', 'protocol', 'set', 'trial', 'prespecifies', 'adaptation', 'schedule', 'processes']"
7,49695,Adrien-Marie Legendre (; French: [adʁiɛ̃ maʁi ləʒɑ̃dʁ]; 18 September 1752 – 9 January 1833) was a French mathematician who made numerous contributions to mathematics. Well-known and important concepts such as the Legendre polynomials and Legendre transformation are named after him.,Adrien-Marie Legendre,1,0,"['adrienmarie', 'legendre', 'french', 'adʁiɛ', 'maʁi', 'ləʒɑdʁ', 'september', 'january', 'french', 'mathematician', 'numerous', 'contributions', 'mathematics', 'wellknown', 'concepts', 'legendre', 'polynomials', 'legendre', 'transformation', 'named']"
8,690512,"The Akaike information criterion (AIC) is an estimator of prediction error and thereby relative quality of statistical models for a given set of data. Given a collection of models for the data, AIC estimates the quality of each model, relative to each of the other models. Thus, AIC provides a means for model selection.
AIC is founded on information theory. When a statistical model is used to represent the process that generated the data, the representation will almost never be exact; so some information will be lost by using the model to represent the process. AIC estimates the relative amount of information lost by a given model: the less information a model loses, the higher the quality of that model.
In estimating the amount of information lost by a model, AIC deals with the trade-off between the goodness of fit of the model and the simplicity of the model. In other words, AIC deals with both the risk of overfitting and the risk of underfitting.
The Akaike information criterion is named after the Japanese statistician Hirotugu Akaike, who formulated it. It now forms the basis of a paradigm for the foundations of statistics and is also widely used for statistical inference.",Akaike information criterion,1,0,"['akaike', 'criterion', 'aic', 'estimator', 'prediction', 'error', 'relative', 'quality', 'statistical', 'models', 'set', 'data', 'collection', 'models', 'data', 'aic', 'estimates', 'quality', 'model', 'relative', 'models', 'aic', 'model', 'selection', 'aic', 'founded', 'theory', 'statistical', 'model', 'represent', 'process', 'generated', 'data', 'representation', 'exact', 'lost', 'model', 'represent', 'process', 'aic', 'estimates', 'relative', 'lost', 'model', 'model', 'loses', 'higher', 'quality', 'model', 'estimating', 'lost', 'model', 'aic', 'deals', 'tradeoff', 'goodness', 'fit', 'model', 'simplicity', 'model', 'aic', 'deals', 'risk', 'overfitting', 'risk', 'underfitting', 'akaike', 'criterion', 'named', 'japanese', 'statistician', 'hirotugu', 'akaike', 'formulated', 'forms', 'basis', 'paradigm', 'foundations', 'statistics', 'statistical', 'inference']"
9,2747204,"Abu ‘Abd ar-Raḥmān al-Khalīl ibn Aḥmad ibn ‘Amr ibn Tammām al-Farāhīdī al-Azdī al-Yaḥmadī (Arabic: أبو عبدالرحمن الخليل بن أحمد الفراهيدي; 718 – 786 CE), known as Al-Farāhīdī,  or Al-Khalīl, was an Arab philologist, lexicographer and leading grammarian of Basra based on Iraq. He made the first dictionary of the Arabic language – and the oldest extant dictionary – Kitab al-'Ayn (Arabic: كتاب العين ""The Source"") – introduced the now standard harakat (vowel marks in Arabic script) system, and was instrumental in the early development of ʿArūḍ (study of prosody), musicology and poetic metre. His linguistic theories influenced the development of Persian, Turkish, Kurdish and Urdu prosody. The ""Shining Star"" of the Basran school of Arabic grammar, a polymath and scholar, he was a man of genuinely original thought.Al-Farahidi was the first scholar to subject the prosody of Classical Arabic poetry to a detailed phonological analysis. The primary data he listed and categorized in meticulous detail was extremely complex to master and utilize, and later theorists have developed simpler formulations with greater coherence and general utility. He was also a pioneer in the field of cryptography, and influenced the work of Al-Kindi.",Al-Khalil ibn Ahmad al-Farahidi,1,0,"['abu', 'abd', 'arraḥmān', 'alkhalīl', 'ibn', 'aḥmad', 'ibn', 'amr', 'ibn', 'tammām', 'alfarāhīdī', 'alazdī', 'alyaḥmadī', 'arabic', 'أبو', 'عبدالرحمن', 'الخليل', 'بن', 'أحمد', 'الفراهيدي', 'ce', 'alfarāhīdī', 'alkhalīl', 'arab', 'philologist', 'lexicographer', 'leading', 'grammarian', 'basra', 'based', 'iraq', 'dictionary', 'arabic', 'language', 'oldest', 'extant', 'dictionary', 'kitab', 'alayn', 'arabic', 'كتاب', 'العين', 'source', 'introduced', 'standard', 'harakat', 'vowel', 'marks', 'arabic', 'script', 'instrumental', 'early', 'development', 'ʿarūḍ', 'study', 'prosody', 'musicology', 'poetic', 'metre', 'linguistic', 'theories', 'influenced', 'development', 'persian', 'turkish', 'kurdish', 'urdu', 'prosody', 'shining', 'star', 'basran', 'school', 'arabic', 'grammar', 'polymath', 'scholar', 'man', 'genuinely', 'original', 'thoughtalfarahidi', 'scholar', 'subject', 'prosody', 'classical', 'arabic', 'poetry', 'detailed', 'phonological', 'analysis', 'primary', 'data', 'listed', 'categorized', 'meticulous', 'extremely', 'complex', 'master', 'utilize', 'theorists', 'developed', 'simpler', 'formulations', 'greater', 'coherence', 'general', 'utility', 'pioneer', 'field', 'cryptography', 'influenced', 'work', 'alkindi']"
10,358,"Algeria, officially the People's Democratic Republic of Algeria, is a country in North Africa. Algeria is bordered to the northeast by Tunisia; to the east by Libya; to the southeast by Niger; to the southwest by Mali, Mauritania, and Western Sahara; to the west by Morocco; and to the north by the Mediterranean Sea. It is considered to be a part of the Maghreb region of North Africa. It has a semi-arid geography, with most of the population living in the fertile north and the Sahara dominating the geography of the south. Algeria covers an area of 2,381,741 square kilometres (919,595 sq mi), making it the world's tenth largest nation by area, and the largest nation in Africa. With a population of 44 million, Algeria is the ninth-most populous country in Africa, and the 32nd-most populous country in the world. The capital and largest city is Algiers, located in the far north on the Mediterranean coast.
Algeria produced and is linked to many civilizations, empires and dynasties, including ancient Numidians, Phoenicians, Carthaginians, Romans, Vandals, Byzantines, Umayyads, Abbasids, Rustamids, Idrisids, Aghlabids, Fatimids, Zirids, Hammadids, Almoravids, Almohads, Zayyanids, Spaniards, Ottomans and the French colonial empire. The vast majority of Algeria's population is Arab-Berber, practicing Islam, and using the official languages of Arabic and Berber. However, French serves as an administrative and educational language in some contexts. The main spoken language is Algerian Arabic.
Algeria is a semi-presidential republic, with local constituencies consisting of 58 provinces and 1,541 communes. Algeria is a regional power in North Africa, and a middle power in global affairs. It has the highest Human Development Index of all non-island African countries and one of the largest economies on the continent, based largely on energy exports. Algeria has the world's sixteenth-largest oil reserves and the ninth-largest reserves of natural gas. Sonatrach, the national oil company, is the largest company in Africa, supplying large amounts of natural gas to Europe. Algeria's military is one of the largest in Africa, and has the largest defence budget on the continent. It is a member of the African Union, the Arab League, the OIC, OPEC, the United Nations, and the Arab Maghreb Union, of which it is a founding member.

",Algeria,1,0,"['algeria', 'officially', 'peoples', 'democratic', 'republic', 'algeria', 'country', 'north', 'africa', 'algeria', 'bordered', 'northeast', 'tunisia', 'east', 'libya', 'southeast', 'niger', 'southwest', 'mali', 'mauritania', 'western', 'sahara', 'west', 'morocco', 'north', 'mediterranean', 'sea', 'considered', 'maghreb', 'region', 'north', 'africa', 'semiarid', 'geography', 'population', 'living', 'fertile', 'north', 'sahara', 'dominating', 'geography', 'south', 'algeria', 'covers', 'area', 'square', 'kilometres', 'sq', 'mi', 'making', 'worlds', 'tenth', 'largest', 'nation', 'area', 'largest', 'nation', 'africa', 'population', 'algeria', 'ninthmost', 'populous', 'country', 'africa', 'ndmost', 'populous', 'country', 'capital', 'largest', 'city', 'algiers', 'located', 'north', 'mediterranean', 'coast', 'algeria', 'produced', 'linked', 'civilizations', 'empires', 'dynasties', 'including', 'ancient', 'numidians', 'phoenicians', 'carthaginians', 'romans', 'vandals', 'byzantines', 'umayyads', 'abbasids', 'rustamids', 'idrisids', 'aghlabids', 'fatimids', 'zirids', 'hammadids', 'almoravids', 'almohads', 'zayyanids', 'spaniards', 'ottomans', 'french', 'colonial', 'empire', 'vast', 'majority', 'algerias', 'population', 'arabberber', 'practicing', 'islam', 'official', 'languages', 'arabic', 'berber', 'french', 'serves', 'administrative', 'educational', 'language', 'contexts', 'main', 'spoken', 'language', 'algerian', 'arabic', 'algeria', 'semipresidential', 'republic', 'local', 'constituencies', 'consisting', 'provinces', 'communes', 'algeria', 'regional', 'power', 'north', 'africa', 'middle', 'power', 'global', 'affairs', 'highest', 'human', 'development', 'nonisland', 'african', 'countries', 'largest', 'economies', 'continent', 'based', 'energy', 'exports', 'algeria', 'worlds', 'sixteenthlargest', 'oil', 'reserves', 'ninthlargest', 'reserves', 'natural', 'gas', 'sonatrach', 'national', 'oil', 'company', 'largest', 'company', 'africa', 'supplying', 'large', 'amounts', 'natural', 'gas', 'europe', 'algerias', 'military', 'largest', 'africa', 'largest', 'defence', 'budget', 'continent', 'member', 'african', 'union', 'arab', 'league', 'oic', 'opec', 'united', 'nations', 'arab', 'maghreb', 'union', 'founding', 'member']"
