,pageid,text,title,statistics,ml
0,1776354,"Anthony William Fairbank Edwards, FRS (born 1935) is a British statistician, geneticist and evolutionary biologist. He is the son of the surgeon Harold C. Edwards, and brother of medical geneticist John H. Edwards. He has sometimes been called ""Fisher's Edwards"" to distinguish him from his brother, because he was mentored by Ronald Fisher. Edwards has always had a high regard for Fisher's scientific contributions and has written extensively on them. To mark the Fisher centenary in 1990, Edwards proposed a commemorative Sir Ronald Fisher window be installed in the Dining Hall of Gonville & Caius College. When the window was removed in 2020, he vigorously opposed the move.",A. W. F. Edwards,1,0
1,19616384,"In algebra, which is a broad division of mathematics, abstract algebra (occasionally called modern algebra) is the study of algebraic structures. Algebraic structures include groups, rings, fields, modules, vector spaces, lattices, and algebras. The term abstract algebra was coined in the early 20th century to distinguish this area of study from older parts of algebra, and more specifically from elementary algebra, the use of variables to represent numbers in computation and reasoning.
Algebraic structures, with their associated homomorphisms, form mathematical categories. Category theory is a formalism that allows a unified  way for expressing properties and constructions that are similar for various structures.
Universal algebra is a related subject that studies types of algebraic structures as single objects. For example, the structure of groups is a single object in universal algebra, which is called the variety of groups.",Abstract algebra,1,0
2,42122213,"Abundance estimation comprises all statistical methods for estimating the number of individuals in a population. In ecology, this may be anything from estimating the number of daisies in a field to estimating the number of blue whales in the ocean.",Abundance estimation,1,0
3,14924067,"An academic discipline or academic field is a subdivision of knowledge that is taught and researched at the college or university level. Disciplines are defined (in part) and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties within colleges and universities to which their practitioners belong. Academic disciplines are conventionally divided into the humanities, including language, art and cultural studies, and the scientific disciplines, such as physics, chemistry, and biology; the social sciences are sometimes considered a third category.
Individuals associated with academic disciplines are commonly referred to as experts or specialists. Others, who may have studied liberal arts or systems theory rather than concentrating in a specific academic discipline, are classified as generalists.
While academic disciplines in and of themselves are more or less focused practices, scholarly approaches such as multidisciplinarity/interdisciplinarity, transdisciplinarity, and cross-disciplinarity integrate aspects from multiple academic disciplines, therefore addressing any problems that may arise from narrow concentration within specialized fields of study. For example, professionals may encounter trouble communicating across academic disciplines because of differences in language, specified concepts, or methodology.
Some researchers believe that academic disciplines may, in the future, be replaced by what is known as Mode 2 or ""post-academic science"", which involves the acquisition of cross-disciplinary knowledge through the collaboration of specialists from various academic disciplines.
It is also known as a field of study, field of inquiry, research field and branch of knowledge. The different terms are used in different countries and fields.",Academic discipline,1,1
4,15704862,"In the statistical area of survival analysis, an accelerated failure time model  (AFT model) is a parametric model that provides an alternative to the commonly used proportional hazards models. Whereas a proportional hazards model assumes that the effect of a covariate is to multiply the hazard by some constant, an AFT model assumes that the effect of a covariate is to accelerate or decelerate the life course of a disease by some constant. This is especially appealing in a technical context where the 'disease' is a result of some mechanical process with a known sequence of intermediary stages.",Accelerated failure time model,1,0
5,189373,"Actuarial science is the discipline that applies mathematical and statistical methods to assess risk in insurance, pension, finance, investment and other industries and professions. More generally, actuaries apply rigorous mathematics to model matters of uncertainty.
Actuaries are professionals trained in this discipline. In many countries, actuaries must demonstrate their competence by passing a series of rigorous professional examinations.
Actuarial science includes a number of interrelated subjects, including mathematics, probability theory, statistics, finance, economics, financial accounting and computer science. Historically, actuarial science used deterministic models in the construction of tables and premiums. The science has gone through revolutionary changes since the 1980s due to the proliferation of high speed computers and the union of stochastic actuarial models with modern financial theory.Many universities have undergraduate and graduate degree programs in actuarial science. In 2010, a study published by job search website CareerCast ranked actuary as the #1 job in the United States. The study used five key criteria to rank jobs: environment, income, employment outlook, physical demands, and stress. A similar study by U.S. News & World Report in 2006 included actuaries among the 25 Best Professions that it expects will be in great demand in the future.",Actuarial science,1,0
6,65297106,"In an adaptive design of a clinical trial, the parameters and conduct of the trial for a candidate drug or vaccine may be changed based on an interim analysis. Adaptive design typically involves advanced statistics to interpret a clinical trial endpoint. This is in contrast to traditional randomized clinical trials (RCTs) that are static in their protocol and do not modify any parameters until the trial is completed. The adaptation process generally continues throughout the trial, as prescribed in the trial protocol. Adaptions may include modifications to: dosage, sample size, drug undergoing trial, patient selection criteria and/or ""cocktail"" mix. The PANDA (A Practical Adaptive & Novel Designs and Analysis toolkit) provides comprehensive summary of different adaptive designs. In some cases, trials have become an ongoing process that regularly adds and drops therapies and patient groups as more information is gained. Importantly, the trial protocol is set before the trial begins which pre-specifies the adaptation schedule and processes.

 

",Adaptive design (medicine),1,0
7,49695,Adrien-Marie Legendre (; French: [adʁiɛ̃ maʁi ləʒɑ̃dʁ]; 18 September 1752 – 9 January 1833) was a French mathematician who made numerous contributions to mathematics. Well-known and important concepts such as the Legendre polynomials and Legendre transformation are named after him.,Adrien-Marie Legendre,1,0
8,690512,"The Akaike information criterion (AIC) is an estimator of prediction error and thereby relative quality of statistical models for a given set of data. Given a collection of models for the data, AIC estimates the quality of each model, relative to each of the other models. Thus, AIC provides a means for model selection.
AIC is founded on information theory. When a statistical model is used to represent the process that generated the data, the representation will almost never be exact; so some information will be lost by using the model to represent the process. AIC estimates the relative amount of information lost by a given model: the less information a model loses, the higher the quality of that model.
In estimating the amount of information lost by a model, AIC deals with the trade-off between the goodness of fit of the model and the simplicity of the model. In other words, AIC deals with both the risk of overfitting and the risk of underfitting.
The Akaike information criterion is named after the Japanese statistician Hirotugu Akaike, who formulated it. It now forms the basis of a paradigm for the foundations of statistics and is also widely used for statistical inference.",Akaike information criterion,1,0
9,2747204,"Abu ‘Abd ar-Raḥmān al-Khalīl ibn Aḥmad ibn ‘Amr ibn Tammām al-Farāhīdī al-Azdī al-Yaḥmadī (Arabic: أبو عبدالرحمن الخليل بن أحمد الفراهيدي; 718 – 786 CE), known as Al-Farāhīdī,  or Al-Khalīl, was an Arab philologist, lexicographer and leading grammarian of Basra based on Iraq. He made the first dictionary of the Arabic language – and the oldest extant dictionary – Kitab al-'Ayn (Arabic: كتاب العين ""The Source"") – introduced the now standard harakat (vowel marks in Arabic script) system, and was instrumental in the early development of ʿArūḍ (study of prosody), musicology and poetic metre. His linguistic theories influenced the development of Persian, Turkish, Kurdish and Urdu prosody. The ""Shining Star"" of the Basran school of Arabic grammar, a polymath and scholar, he was a man of genuinely original thought.Al-Farahidi was the first scholar to subject the prosody of Classical Arabic poetry to a detailed phonological analysis. The primary data he listed and categorized in meticulous detail was extremely complex to master and utilize, and later theorists have developed simpler formulations with greater coherence and general utility. He was also a pioneer in the field of cryptography, and influenced the work of Al-Kindi.",Al-Khalil ibn Ahmad al-Farahidi,1,0
